credit_card_number,order_id
2.56324E+15,1000
1.35632E+15,1001
6.84323E+15,1002
3.18795E+15,1003
3.56547E+15,1004
6.53214E+15,1005
1.35468E+15,1006
1.35468E+15,1010
1.35632E+15,1021
2.56324E+15,1013
2321833242527473,1018
2321833242527473,1023
30376196924946,1015
343474038623370,1020
3505053762330275,1019
3545947822861520,1011
3552291683364609,1024
3573888357472173,1026
373925956588351,1025
4564148144006084,1008
4564148144006084,1016
4694490879109987,1014
4694490879109987,1022
6.53214E+15,1009
6.53214E+15,1012
6011472395699338,1017
6563208897157777,1007
